start_id,end_id,relation,end_time,position,sport_number,start_time,time
Q298531,Q976396,playfor,01 July 2013,point guard,1,12 December 2011,
Q298531,Q162954,playfor,2011,point guard; shooting guard,1,2008,
Q36159,Q162990,playfor,2018,power forward; small forward,23,2014,
Q36159,Q162990,playfor,2010,small forward; shooting guard,23,2003,
Q298531,Q169661,playfor,01 July 2014,point guard,1,2013,
Q298531,Q169661,playfor,2008,point guard,1,2002,
Q449245,Q159729,playfor,1989,shooting guard,21,1984,
Q298531,Q131371,playfor,1998,point guard,4,1997,
Q298981,Q161337,playfor,03 January 2014,power forward,15,2010,
Q298981,Q161337,playfor,2009,small forward,15,2004,
Q2566735,Q167253,playfor,1995,point guard,30,1985,
Q190094,Q138089,playfor,2006,shooting guard; point guard,3,1996,
Q190094,Q138089,playfor,2010,shooting guard,3,2009,
Q295364,Q128109,playfor,2008,center; power forward,3,2006,
Q295364,Q161337,playfor,2000,center; power forward,4,1999,
Q2318539,Q167253,playfor,1993,center,00,1987,
Q295364,Q162990,playfor,2009,power forward; center,4,2008,
Q361134,Q976396,playfor,2010,power forward; center,23,2008,
Q295364,Q169165,playfor,1999,power forward; center,30,1996,
Q190094,Q162954,playfor,2008,point guard; shooting guard,3,2006,
Q440121,Q169165,playfor,1977,shooting guard; point guard,21,1975,
Q190094,Q165529,playfor,2009,point guard,3,2009,
Q10516040,Q170649,playfor,,point guard,3,2013,
Q361134,Q162954,playfor,2008,center,23,2002,
Q295364,Q169661,playfor,2006,center,3,2000,
Q295364,Q169661,playfor,2012,center; power forward,6,2009,
Q984367,Q170329,playfor,2002,small forward,5,1996,
Q264393,Q169637,playfor,1983,power forward,36,1982,
Q361134,Q167253,playfor,15 March 2012,center,23,16 February 2010,
Q463200,Q169138,playfor,1994,shooting guard,3,1991,
Q190094,Q169661,playfor,2009,point guard,1,2008,
Q298531,Q170558,playfor,2002,point guard; shooting guard,4,2000,
Q312643,Q131371,playfor,1963,point guard,14,1950,
Q318929,Q169138,playfor,,small forward,,2014,
Q357757,Q170649,playfor,1993,center,53,1982,
Q463200,Q159729,playfor,2003,shooting guard,8,2001,
Q24519,Q165529,playfor,2013,shooting guard,1,2012,
Q36159,Q169138,playfor,2014,power forward; small forward,6,10 July 2010,
Q1033044,Q159729,playfor,20 October 2013,shooting guard,27,01 September 2013,
Q926364,Q161337,playfor,1994,point guard,4,1989,
Q275889,Q121783,playfor,2021,center; power forward,,2020,
Q275183,Q128109,playfor,2014,small forward,9,2004,
Q361134,Q131364,playfor,2002,center; power forward,23,1998,
Q361134,Q131364,playfor,2013,center,23,11 July 2012,
Q180860,Q169165,playfor,1994,center,43,1990,
Q318929,Q170329,playfor,2014,small forward,33,2005,
Q348598,Q169661,playfor,1999,point guard; shooting guard,4,1985,
Q318929,Q976396,playfor,2014,small forward,33,2014,
Q310108,Q169165,playfor,2010,point guard,9,2003,
Q2354822,Q167253,playfor,1997,center,20,1993,
Q310108,Q157376,playfor,2003,point guard,0,2001,
Q739699,Q162954,playfor,1990,small forward,2,1980,
Q361134,Q132880,playfor,1998,center,21,1996,
Q361134,Q132880,playfor,17 July 2013,center; power forward,,10 July 2013,
Q463200,Q159893,playfor,1999,shooting guard,8,1995,
Q933952,Q162990,playfor,1980,shooting guard,34,1971,
Q440121,Q169661,playfor,1975,point guard,21,1966,
Q275183,Q162990,playfor,01 July 2014,small forward,9,07 January 2014,
Q211876,Q159729,playfor,2003,center,50,1989,
Q192955,Q132893,playfor,2004,point guard,13,1998,
Q310108,Q165529,playfor,2012,point guard,10,2012,
Q449245,Q169637,playfor,1993,small forward; shooting guard,21,1989,
Q275889,Q165529,playfor,2018,center,33,2008,
Q361134,Q161345,playfor,11 July 2012,center,29,15 March 2012,
Q190152,Q131371,playfor,1992,power forward; small forward,33,1979,
Q275183,Q169138,playfor,2016,small forward,,2014,
Q264393,Q131371,playfor,1980,center,18,1970,
Q205326,Q128109,playfor,,point guard,1,2008,
Q16236628,Q132880,playfor,,point guard,23,2016,
Q505500,Q131371,playfor,1956,center,22,1950,
Q451780,Q166105,playfor,1976,point guard,1,1970,
Q958710,Q172339,playfor,2004,point guard,,2002,
Q973121,Q976396,playfor,,small forward; shooting guard,24,2019,
Q298981,Q976396,playfor,2015,power forward,8,16 January 2014,
Q310108,Q161337,playfor,09 December 2011,point guard,1,18 December 2010,
Q192955,Q121783,playfor,,point guard,10,11 July 2012,
Q192955,Q164177,playfor,2012,point guard,13,2004,
Q192955,Q164177,playfor,1998,point guard,13,1996,
Q451780,Q131371,playfor,1983,point guard,7,1978,
Q182455,Q138089,playfor,1968,center,13,1965,
Q169452,Q161337,playfor,1996,center,32,June 1992,
Q182455,Q157376,playfor,1965,center,13,1959,
Q352696,Q169138,playfor,12 July 2010,small forward; power forward,30,26 June 2008,
Q352696,Q169138,playfor,01 July 2014,power forward; small forward,8,2013,
Q3780060,Q169165,playfor,,small forward,,,
Q189240,Q170558,playfor,2007,power forward; small forward,21,1995,
Q179051,Q121783,playfor,1989,center,33,1975,
Q209921,Q138089,playfor,1987,small forward,6,1976,
Q1034012,Q169637,playfor,,center; power forward,8,2010,
Q549899,Q138089,playfor,1973,shooting guard; point guard,15,1958,
Q44068,Q132893,playfor,,power forward,41,1998,
Q41421,Q128109,playfor,1998,shooting guard,23; 45,1995,
Q41421,Q128109,playfor,1993,shooting guard,23,1984,
Q169452,Q131371,playfor,2011,center,36,2010,
Q456776,Q169165,playfor,1981,power forward; center,41,1968,
Q381746,Q169637,playfor,01 July 2013,point guard; shooting guard,11,13 March 2012,
Q192707,Q164177,playfor,1996,power forward,34,1992,
Q189240,Q131371,playfor,12 July 2013,power forward; center,5,2007,
Q375767,Q157376,playfor,1991,shooting guard,23,1988,
Q192707,Q138089,playfor,1992,power forward,34; 32,1984,
Q381746,Q132893,playfor,,shooting guard,,23 July 2013,
Q10345662,Q138089,playfor,14 August 2013,small forward; shooting guard,,01 April 2013,
Q297146,Q131364,playfor,2014,center,6,2011,
Q10345662,Q162990,playfor,10 October 2012,small forward,,2012,
Q273256,Q161345,playfor,2001,center,34,1984,
