node_id,concept,country_of_citizenship,date_of_birth,enwiki_title,handedness,height,inception,mass,name,native_language,nickname,owners,place_of_birth,schools_attended,sex_or_gender,work_period_end,work_period_start
Q344531,player,Turkey,20 May 1990,%C4%B0zzet T%C3%BCrky%C4%B1lmaz,,216 centimetre,,95 kilogram,İzzet Türkyılmaz,Turkish,,,Burhaniye,,male,,2007
Q348696,player,United States of America,29 March 1945,Walt Frazier,,193 centimetre,,93 kilogram,Walt Frazier,English,,,Atlanta,David T. Howard High School; Southern Illinois University Carbondale,male,1980,1967
Q372859,player,United States of America,28 February 1955,Adrian Dantley,,196 centimetre,,95 kilogram,Adrian Dantley,English,Teach; A.D.; The Teacher,,"Washington, D.C.",DeMatha Catholic High School; University of Notre Dame,male,1991,1976
Q375767,player,United States of America,30 June 1965,Mitch Richmond,,196 centimetre,,98 kilogram,Mitch Richmond,English,The Rock,,Fort Lauderdale,Boyd H. Anderson High School; Moberly Area Community College; Kansas State University,male,2002,1988
Q375600,player,United States of America,15 May 1940,Don Nelson,,198 centimetre,,95 kilogram,Don Nelson,English,,,Muskegon,University of Iowa; Rock Island High School,male,1976,1962
Q378660,player,United States of America,02 July 1961,Jon Sundvold,,188 centimetre,,77 kilogram,Jon Sundvold,English,,,Sioux Falls,University of Missouri,male,1991,1983
Q348032,player,Lithuania; Soviet Union,13 June 1964,%C5%A0ar%C5%ABnas Mar%C4%8Diulionis,,196 centimetre,,91 kilogram,Šarūnas Marčiulionis,,,,Kaunas,Vilnius University,male,1997,1981
Q348618,player,Australia; United States of America,23 March 1992,Kyrie Irving,,188 centimetre,,88.5 kilogram,Kyrie Irving,English,,,Melbourne,St. Patrick High School; Montclair Kimberley Academy; Duke University,male,,2011
Q461825,player,United States of America,05 April 1978,Stephen Jackson,,203 centimetre,,99 kilogram,Stephen Jackson,English,,,Port Arthur,Memorial High School,male,2014,1997
Q137450,player,United States of America,21 July 1984,Paul Davis (basketball),,211 centimetre,,122 kilogram,Paul Davis,English,Big Paul,,Rochester,Michigan State University; Rochester High School,male,2016,2006
Q370486,player,United States of America,19 May 1986,Mario Chalmers,,185 centimetre,,88 kilogram,Mario Chalmers,English,,,Anchorage,Steller Secondary School; University of Kansas; Bartlett High School,male,,2008
Q370779,player,United States of America,18 March 1933,Win Wilfong,,188 centimetre,,84 kilogram,Win Wilfong,English,,,Puxico,University of Missouri,male,1963,1957
Q460131,player,United States of America,01 April 1988,Brook Lopez,,213 centimetre,,118 kilogram,Brook Lopez,English,,,North Hollywood,San Joaquin Memorial High School; Stanford University,male,,2008
Q460516,player,United States of America,03 September 1973,Damon Stoudamire,,178 centimetre,,78 kilogram,Damon Stoudamire,English,Super Ratón,,Portland,University of Arizona; Ida B. Wells-Barnett High School,male,2008,1995
Q461763,player,United States of America; United States Virgin Islands,19 September 1976,Raja Bell,,196 centimetre,,93 kilogram,Raja Bell,English,,,Saint Croix,Boston University; Boston University; Florida International University; Miami Killian High School,male,2013,1999
Q380015,player,Serbia; Serbia and Montenegro,29 March 1978,Igor Rako%C4%8Devi%C4%87,,191 centimetre,,83 kilogram,Igor Rakočević,,,,Belgrade,Ninth Belgrade Gymnasium,male,2013,1995
Q454850,player,United States of America,30 March 1919,Ossie Schectman,,1.83 metre,,80 kilogram,Ossie Schectman,English,,,Kew Gardens,Long Island University; Samuel J. Tilden High School; LIU Brooklyn,male,1948,1941
Q456374,player,United States of America,07 August 1989,DeMar DeRozan,,201 centimetre,,100 kilogram,DeMar DeRozan,English,,,Compton,University of Southern California; Compton High School,male,,2009
Q136678,player,United States of America,26 August 1989,James Harden,,196 centimetre,,100 kilogram,James Harden,English,,,Los Angeles,Artesia High School; Arizona State University,male,,2009
Q65594,player,Senegal; Germany,03 September 1977,Boniface N%27Dong,,213 centimetre,,90 kilogram,Boniface N'Dong,,,,Dakar,,male,2013,1999
Q72353,player,Lithuania; United States of America,05 June 1975,Zydrunas Ilgauskas,,221 centimetre,,108 kilogram,Žydrūnas Ilgauskas,English,,,Kaunas,,male,2011,1993
Q74005,player,Brazil,05 May 1988,V%C3%ADtor Faverani,,210 centimetre,,118 kilogram,Vitor Faverani,,,,Porto Alegre,,male,,2005
Q319313,player,United States of America,05 December 1985,Josh Smith,,206 centimetre,,107 kilogram,Josh Smith,English,,,College Park,McEachern High School; Dillard High School,male,,2004
Q134183,player,United States of America,14 August 1959,Magic Johnson,,206 centimetre,,100 kilogram,Magic Johnson,English,Mr. J; Magic; Buck; The Magic Man; Tragic Johnson; E.J. the Deejay; June Bug; The Magic Show,,Lansing,Everett High School; Michigan State University; Michigan State University,male,1991,1979
Q271933,player,Jamaica; United States of America,05 August 1962,Patrick Ewing,,213 centimetre,,109 kilogram,Patrick Ewing,English,Big Pat; Pat; Hoya Destroya,,Kingston,Cambridge Rindge and Latin School; Georgetown University,male,2002,1985
Q273256,player,Nigeria; United States of America,21 January 1963,Hakeem Olajuwon,,213 centimetre,,116 kilogram,Hakeem Olajuwon,English; Yoruba,Akeem the Dream; Hakeem the Dream; Little Moses; The Dream,,Lagos,University of Houston,male,2002,1984
Q276835,player,United States of America,12 August 1982,Gerald Fitch,,190 centimetre,,85 kilogram,Gerald Fitch,English,,,Columbus,Westside High School; University of Kentucky,male,,2004
Q278203,player,United States of America,01 February 1970,Malik Sealy,,203 centimetre,,86 kilogram,Malik Sealy,English,Quiet Storm; Silk,,The Bronx,St. Nicholas of Tolentine High School; St. John's University,male,2000,1992
Q295521,player,United States of America,28 February 1980,Tayshaun Prince,,206 centimetre,,98 kilogram,Tayshaun Prince,English,,,Compton,University of Kentucky; Manuel Dominguez High School,male,2016,2002
Q348734,player,United States of America,24 June 1985,Taj Gibson,,206 centimetre,,102 kilogram,Taj Gibson,English,"Hard Hat, Lunch Pail; Secretary of Defense; The Spin Cycle",,Brooklyn,University of Southern California,male,,2009
Q372422,player,United States of America,07 April 1951,Bo Lamar,,185 centimetre,,82 kilogram,Bo Lamar,English,,,Columbus,University of Louisiana at Lafayette; East High School,male,1977,1973
Q377852,player,United States of America,25 June 1969,Duane Cooper,,185 centimetre,,84 kilogram,Duane Cooper,English,,,Benton Harbor,University of Southern California; Lakewood High School,male,2003,1992
Q373230,player,United States of America,27 May 1971,Corey Beck,,185 centimetre,,86 kilogram,Corey Beck,English,,,Memphis,University of Arkansas,male,2001,1995
Q377693,player,United States of America,21 June 1980,Richard Jefferson,,201 centimetre,,101 kilogram,Richard Jefferson,English,,,Los Angeles,University of Arizona; Moon Valley High School,male,2018,2001
Q448245,player,United States of America,19 July 1954,Alvan Adams,,206 centimetre,,95 kilogram,Alvan Adams,English,Double A; The Oklahoma Kid,,Lawrence,University of Oklahoma; Putnam City High School,male,1988,1975
Q460116,player,Romania,14 February 1971,Gheorghe Mure%C8%99an,,231 centimetre,,138 kilogram,Gheorghe Mureșan,,,,Tritenii de Jos,Babeș-Bolyai University,male,2006,1991
Q275183,player,South Sudan; United Kingdom,16 April 1985,Luol Deng,,206 centimetre,,100 kilogram,Luol Deng,,Lieutenant Deng,,Wau,St Mary's Catholic High School; Duke University; Blair Academy,male,2019,2004
Q70698,player,Germany,26 March 1962,Uwe Blab,,216 centimetre,,115 kilogram,Uwe Blab,,,,Munich,Indiana University Bloomington,male,1993,1985
Q318929,player,United States of America,20 April 1983,Danny Granger,,203 centimetre,,100 kilogram,Danny Granger,English,,,New Orleans,Grace King High School; University of New Mexico; Bradley University,male,2015,2005
Q318926,player,Slovenia,08 March 1984,Sasha Vuja%C4%8Di%C4%87,,201 centimetre,,93 kilogram,Sasha Vujačić,,,,Maribor,,male,,2001
Q319336,player,United States of America,20 February 1977,Stephon Marbury,,188 centimetre,,82 kilogram,Stephon Marbury,English,,,Brooklyn,Abraham Lincoln High School; Georgia Tech,male,2018,1996
Q343341,player,Turkey,07 January 1974,%C4%B0brahim Kutluay,,197 centimetre,,93 kilogram,İbrahim Kutluay,Turkish,,,Istanbul,,male,2009,1993
Q449642,player,United States of America,28 March 1980,Luke Walton,,203 centimetre,,106 kilogram,Luke Walton,English,,,San Diego,University of Arizona; University of Arizona; University of San Diego High School; Cathedral Catholic High School,male,2013,2003
Q371193,player,United States of America,26 June 1984,J. J. Barea,,183 centimetre,,84 kilogram,J. J. Barea,,,,Mayagüez,Miami Christian School; Northeastern University,male,,2001
Q371224,player,United States of America,26 June 1984,Raymond Felton,,185 centimetre,,90 kilogram,Raymond Felton,English,,,Marion,University of North Carolina at Chapel Hill,male,,2005
Q372803,player,United States of America,01 January 1922,Ken Keller,,185 centimetre,,82 kilogram,Ken Keller,English,,,Brooklyn,Bishop Loughlin Memorial High School,male,1948,1946
Q461574,player,United States of America,17 February 1980,Al Harrington,,206 centimetre,,113 kilogram,Al Harrington,English,,,Orange,St. Patrick High School,male,2015,1998
Q380018,player,Lithuania,06 May 1992,Jonas Valan%C4%8Di%C5%ABnas,,211 centimetre,,111 kilogram,Jonas Valančiūnas,,,,Utena,,male,,2008
Q449245,player,United States of America,22 July 1962,Alvin Robertson,,191 centimetre,,84 kilogram,Alvin Robertson,English,,,Barberton,Barberton High School; Crowder College; University of Arkansas,male,2000,1984
Q376230,player,United States of America,16 March 1952,Jim Bradley (basketball),,203 centimetre,,95 kilogram,Jim Bradley,English,,,East Chicago,Central High School; Northern Illinois University,male,1979,1973
Q459471,player,United States of America,18 March 1978,Brian Scalabrine,,206 centimetre,,107 kilogram,Brian Scalabrine,English,,,Long Beach,Enumclaw High School; University of Southern California; Highline College,male,2012,2001
Q461407,player,United States of America,24 March 1983,T. J. Ford,,183 centimetre,,75 kilogram,T. J. Ford,,,,Houston,Willowridge High School; University of Texas at Austin,male,2012,2003
Q280376,player,Panama; United States of America,26 February 1959,Rolando Blackman,,198 centimetre,,86 kilogram,Rolando Blackman,English,,,Panama City,Kansas State University; William E. Grady CTE High School,male,1997,1981
Q296403,player,United States of America,06 November 1979,Lamar Odom,,208 centimetre,,100 kilogram,Lamar Odom,English,L.O.; The Goods; Candy Man,,Jamaica,Christ the King Regional High School; University of Rhode Island; United States Army War College,male,,1999
Q343746,player,Turkey,13 May 1990,%C4%B0lkan Karaman,,2.06 metre,,115 kilogram,İlkan Karaman,Turkish,,,Istanbul,,male,,2007
Q371250,player,Russia,08 May 1985,Sasha Kaun,,211 centimetre,,111 kilogram,Sasha Kaun,,,,Tomsk,University of Kansas; Florida Preparatory Academy,male,2016,2008
Q377721,player,Switzerland,02 May 1984,Thabo Sefolosha,,201 centimetre,,100 kilogram,Thabo Sefolosha,,,,Vevey,,male,,2001
Q460193,player,United States of America,26 August 1934,Tom Heinsohn,,201 centimetre,,99 kilogram,Tom Heinsohn,English,,,Jersey City,College of the Holy Cross; Saint Michael's School,male,1965,1956
Q337370,player,United States of America,06 September 1990,John Wall,,193 centimetre,,89 kilogram,John Wall,English,,,Raleigh,University of Kentucky; Word of God Christian Academy; Garner Magnet High School; Needham B. Broughton High School,male,,2010
Q144703,player,United States of America,06 September 1962,Kevin Willis,,213 centimetre,,100 kilogram,Kevin Willis,English,,,Los Angeles,Pershing High School; Michigan State University,male,2007,1984
Q318916,player,United States of America,06 March 1973,Michael Finley,,201 centimetre,,98 kilogram,Michael Finley,English,Fin Dawg,,Melrose Park,University of Wisconsin–Madison; Proviso East High School,male,2010,1995
Q72252,player,Germany,06 July 1989,Elias Harris,,203 centimetre; 201 centimetre,,108 kilogram,Elias Harris,,,,Speyer,Gonzaga University,male,,2005
Q94846,player,Serbia,03 February 1968,Vlade Divac,,217 centimetre,,118 kilogram,Vlade Divac,,,,Prijepolje,,male,2005,1983
Q337729,player,United States of America,01 January 1986,Glen Davis (basketball),,206 centimetre,,131 kilogram,Glen Davis,English,,,Baton Rouge,Louisiana State University Laboratory School; Louisiana State University,male,,2007
Q295364,player,United States of America,10 September 1974,Ben Wallace (basketball),,206 centimetre,,109 kilogram,Ben Wallace,English,,,White Hall,Virginia Union University; Cuyahoga Community College,male,2012,1996
Q136816,player,United States of America,28 January 1984,Andre Iguodala,,198 centimetre,,98 kilogram,Andre Iguodala,English,,,Springfield,University of Arizona; Lanphier High School,male,,2004
Q372389,player,United States of America,05 March 1972,Brian Grant,,206 centimetre,,115 kilogram,Brian Grant,English,,,Columbus,Xavier University; Georgetown Junior/Senior High School,male,2006,1994
